Player Name,New Team,Date,New Date,,,,
Aubameyang,Arsenal,1/31/18,1/29/18,,BDL,1,0
Andre Ayew,Swansea City,1/31/18,1/29/18,,EPL,,0
Lucas Moura,Tottenham,1/31/18,1/29/18,,L1,,0
Giroud,Chelsea,1/31/18,1/29/18,,EPL,,0
Mangala,Everton,1/31/18,1/29/18,,EPL,,0
Ndiaye,Stoke City,1/31/18,1/29/18,,Other,,1
Slimani,Newcastle United,1/31/18,1/29/18,,EPL,,0
Emerson,Chelsea,1/30/18,1/28/18,,SA,,0
Laporte,Man City,1/30/18,1/28/18,,LL,,0
Deulofeu,Watford,1/29/18,1/27/18,,LL,,0
Sturridge,West Brom,1/29/18,1/27/18,,EPL,,0
Joao Mario,West Ham,1/26/18,1/24/18,,SA,,0
Mkhitaryan,Arsenal,1/23/18,1/21/18,,EPL,,0
Sanchez,Man United,1/23/18,1/21/18,,EPL,,0
Lennon,Burnley,1/23/18,1/21/18,,EPL,,0
Kenedy,Newcastle United,1/23/18,1/21/18,,EPL,,0
Walcott,Everton,1/18/18,1/16/18,,EPL,,0
Barkley,Chelsea,1/5/18,1/3/18,,EPL,,0
Van Dijk,Liverpool,1/1/18,12/30/17,,EPL,,0
Silva,Leicester City,1/1/18,12/30/17,,Other,,1
Hegazi,West Brom,12/18/17,12/16/17,,Other,,1
Drinkwater,Chelsea,9/1/17,8/30/17,,EPL,,0
Zappacosta,Chelsea,8/31/17,8/29/17,,SA,,0
Sakho,Crystal Palace,8/31/17,8/29/17,,EPL,,0
Vlasic,Everton,8/31/17,8/29/17,,Other,,1
Dragovic,Leicester City,8/31/17,8/29/17,,BDL,,0
Sanches,Swansea,8/31/17,8/29/17,,BDL,,0
Bony,Swansea,8/31/17,8/29/17,,EPL,,0
Aurier,Tottenham,8/31/17,8/29/17,,L1,,0
Llorente,Tottenham,8/31/17,8/29/17,,EPL,,0
Krychowiak,West Brom,8/30/17,8/28/17,John Percy,L1,,0
Wimmer,Stoke City,8/29/17,8/27/17,Stoke Sentinel,EPL,,0
Clucas,Swansea,8/23/17,8/21/17,BBC Sport,EPL,,0
Sanchez,Tottenham,8/23/17,8/21/17,Sky Sports,Other,Dutch,1
Hoedt,Southampton,8/22/17,8/20/17,,SA,,0
Chris Wood ,Burnley,8/21/17,8/19/17,Phil Hay Yorkshire Evening Post,Other,,1
Oxlade-Chamberlain,Liverpool,8/21/17,8/19/17,,EPL,,0
Sigurdsson,Everton,8/16/17,8/14/17,Sky Sports,EPL,,0
Joselu,Newcastle,8/16/17,8/14/17,Andy Goldstein talkSport,LL,,0
Jese ,Stoke City,8/16/17,8/14/17,AS English,L1,,0
Barry,West Brom,8/16/17,8/14/17,Simon Jones Daily Mail,EPL,,0
Martins Indi,Stoke City,8/11/17,8/9/17,Rob Dorsett Sky Sports,Other,Dutch,1
Fosu-Mensah,Crystal Palace,8/10/17,8/8/17,,EPL,,0
Lemina,Southampton,8/9/17,8/7/17,Kaveh Solhekol Sky Sports,SA,,0
Choupo-Moting,Stoke City,8/8/17,8/6/17,Darren Lewis Daily Mirror,BDL,,0
Richarlison,Watford,8/8/17,8/6/17,,Other,,1
Propper,Brighton,8/7/17,8/5/17,,Other,Dutch,1
Iheanacho,Leicester City,8/4/17,8/2/17,,EPL,,0
Matic ,Man United,7/31/17,7/29/17,,EPL,,0
Merino,Newcastle,7/28/17,7/26/17,Marca,BDL,,0
Bardsley,Burnley,7/26/17,7/24/17,Alan Nixon Sun Sport,EPL,,0
Izzy Brown,Brighton,7/25/17,7/23/17,,EPL,,0
Chicharito,West Ham,7/25/17,7/23/17,,BDL,,0
Mendy,Man City,7/24/17,7/22/17,,L1,,0
Salah,Liverpool,7/23/17,7/21/17,,SA,,0
Danilo ,Man City,7/23/17,7/21/17,,LL,,0
Arnautovic,West Ham,7/23/17,7/21/17,,EPL,,0
Morata ,Chelsea,7/22/17,7/20/17,,LL,,0
Robertson,Liverpool,7/22/17,7/20/17,,Other,,1
Manquilo,Newcastle,7/21/17,7/19/17,,EPL,,0
Zouma,Stoke City,7/21/17,7/19/17,,EPL,,0
Murphy,Newcastle,7/19/17,7/17/17,,Other,,1
Hart ,West Ham,7/18/17,7/16/17,,SA,,0
Bakayoko,Chelsea,7/16/17,7/14/17,,L1,,0
Pickford,Everton,7/15/17,7/13/17,,EPL,,0
Maguire,Leicester City,7/15/17,7/13/17,,EPL,,0
Kyle Walker,Man City,7/14/17,7/12/17,,EPL,,0
Chalobah,Watford,7/14/17,7/12/17,,EPL,,0
Loftus-Cheek,Crystal Palace,7/12/17,7/10/17,,EPL,,0
Jack Cork,Burnley,7/11/17,7/9/17,,EPL,,0
Rudiger,Chelsea,7/10/17,7/8/17,,SA,,0
Solanke,Liverpool,7/10/17,7/8/17,,EPL,,0
Lukaku ,Man United,7/10/17,7/8/17,,EPL,,0
Rooney,Everton,7/9/17,7/7/17,,EPL,,0
Jonathan Walters,Burnley,7/7/17,7/5/17,,EPL,,0
Martina,Everton,7/7/17,7/5/17,,EPL,,0
Lacazette,Arsenal,7/6/17,7/4/17,,L1,,0
Iborra,Leicester City,7/6/17,7/4/17,,LL,,0
Mesa,Swansea,7/6/17,7/4/17,,LL,,0
Mounie,Huddersfield Town,7/5/17,7/3/17,,L1,,0
Abraham,Swansea,7/5/17,7/3/17,,EPL,,0
Williams,Huddersfield Town,7/4/17,7/2/17,,Other,,1
Keane,Everton,7/3/17,7/1/17,,EPL,,0
Sandro ,Everton,7/3/17,7/1/17,,LL,,0
Rodriguez,West Brom,7/2/17,6/30/17,,EPL,,0
Caballero,Chelsea,7/1/17,6/29/17,,EPL,,0
Fletcher,Stoke City,7/1/17,6/29/17,,EPL,,0
Begovic ,Bournemouth,6/30/17,6/28/17,,EPL,,0
Ake ,Bournemouth,6/30/17,6/28/17,,EPL,,0
Aaron Mooy,Huddersfield Town,6/30/17,6/28/17,,Other,,1
Lossl,Huddersfield Town,6/30/17,6/28/17,,BDL,,0
Defoe ,Bournemouth,6/29/17,6/27/17,,EPL,,0
Depoitre,Huddersfield Town,6/23/17,6/21/17,,Other,,1
Klaasen,Everton,6/15/17,6/13/17,,Other,Dutch,1
Lindelof ,Man United,6/10/17,6/8/17,,Other,,1
Ederson ,Man City,6/8/17,6/6/17,,Other,,1
Kolasinac ,Arsenal,6/6/17,6/4/17,,BDL,,0
Bernardo Silva,Man City,5/26/17,5/24/17,,L1,,0
Zabaleta,West Ham,5/26/17,5/24/17,,EPL,,0
Atsu ,Newcastle,5/24/17,5/22/17,,LL,,0
Gross,Brighton,5/19/17,5/17/17,,BDL,,0
Cleverley,Watford,3/31/17,3/29/17,,EPL,,0
Westwood ,Burnley,1/31/17,1/29/17,,Other,,1
Brady,Burnley,1/31/17,1/29/17,,EPL,,0
Van Aanholt,Crystal Palace,1/30/17,1/28/17,,EPL,,0
Milivojevic ,Crystal Palace,1/30/17,1/28/17,,Other,,1
Gabbiadini,Southampton,1/30/17,1/28/17,,SA,,0
Jordan Ayew,Swansea City,1/30/17,1/28/17,,Other,,1
Snodgrass ,West Ham,1/27/17,1/25/17,,EPL,,0
Zarate ,Watford,1/25/17,1/23/17,,EPL,,0
Berahino,Stoke City,1/21/17,1/19/17,,EPL,,0
Livermore ,West Brom,1/20/17,1/18/17,,EPL,,0
Jose Fonte,West Ham,1/20/17,1/18/17,,EPL,,0
Olsson,Swansea City,1/17/17,1/15/17,,EPL,,0
Tom Carroll,Swansea City,1/17/17,1/15/17,,EPL,,0
Schlupp,Crystal Palace,1/13/17,1/11/17,,EPL,,0
Schneiderlin ,Everton,1/13/17,1/11/17,,EPL,,0
Narsingh,Swansea City,1/13/17,1/11/17,,Other,Dutch,1
Ndidi ,Leicester City,1/7/17,1/5/17,,Other,,1
Lee Grant,Stoke City,1/4/17,1/2/17,,Other,,1
Barton,Burnley,1/2/17,12/31/16,,Other,,1
Xhaka ,Arsenal,5/24/16,5/22/16,,BDL,,0
Mustafi ,Arsenal,8/30/16,8/28/16,,LL,,0
Batshuayi ,Chelsea,7/3/16,7/1/16,,L1,,0
Marcos Alonso,Chelsea,8/30/16,8/28/16,,SA,,0
Ngolo Kante,Chelsea,7/16/16,7/14/16,,L1,,0
David Luiz,Chelsea,8/31/16,8/29/16,,L1,,0
Benteke ,Crystal Palace,8/20/16,8/18/16,,EPL,,0
Townsend ,Crystal Palace,7/1/16,6/29/16,,EPL,,0
Gueye ,Everton,8/2/16,7/31/16,,EPL,,0
Ashley Williams,Everton,8/10/16,8/8/16,,EPL,,0
Bolasie,Everton,8/15/16,8/13/16,,EPL,,0
Musa,Leicester City,7/8/16,7/6/16,,Other,,1
Slimani,Leicester City,8/30/16,8/28/16,,Other,,1
Matip,Liverpool,7/1/16,6/29/16,,BDL,,0
Sadio Mane,Liverpool,6/28/16,6/26/16,,EPL,,0
Wijnaldum,Liverpool,7/22/16,7/20/16,,EPL,,0
Gundogan,Man City,6/2/16,5/31/16,,BDL,,0
Leroy Sane,Man City,8/2/16,7/31/16,,BDL,,0
Gabriel Jesus,Man City,8/3/16,8/1/16,,Other,,1
John Stones ,Man City,8/9/16,8/7/16,,EPL,,0
Bailly,Man United,6/8/16,6/6/16,,LL,,0
Ibrahimovic,Man United,7/1/16,6/29/16,,L1,,0
Mkhitaryan,Man United,7/6/16,7/4/16,,BDL,,0
Paul Pogba,Man United,8/8/16,8/6/16,,SA,,0
Nathan Redmond,Southampton,6/25/16,6/23/16,,EPL,,0
Hojbjerg,Southampton,7/11/16,7/9/16,,BDL,,0
Wanyama,Tottenham,6/23/16,6/21/16,,EPL,,0
Chadli,West Brom,8/29/16,8/27/16,,EPL,,0
Andre Ayew,West Ham,8/8/16,8/6/16,,EPL,,0
,,,,,,,0
Atsu,,,,,EPL,,0
Ginkel,,,,,EPL,,0
Pato,,,,,Other,,1
Bamford,,,,,epl,,0
Unal,,,,,Other,,1
Elneny,,,,,Other,,1
Jenkinson,,,,,EPL,,0
Gnabry,,,,,EPL,,0
Sanogo,,,,,Other,Dutch,1
Januzaj,,,,,BDL,,0
Grujic,,,,,Other,,1
Caulker,,,,,Other,,1
Austin,,,,,EPL,,0
Fer,,,,,EPL,,0
Paloschi,,,,,SA,,0
Imbula,,,,,Other,,1
Adebayor,,,,,Other,,1
Williams,,,,,Other,,1
Niasse,,,,,Other,,1
Tarashaj,,,,,Other,,1
Byram,,,,,Other,,1
Emenik,,,,,Other,,1
Sandro,,,,,EPL,,0
Pritchard,,,,,epl,,0
aMARTEY,,,,,oTHER,,1
Lawrence,,,,,Other,,1
Chilwell,,,,,Other,,1
Gray,,,,,Other,,1
Shelvey,,,,,EPL,,0
Townsend,,,,,EPL,,0
Saivet,,,,,L1,,0
Doumbia,,,,,SA,,0
Ferguson,,,,,Other,,1
Williamson,,,,,Other,,1
Khazri,,,,,L1,,0
Kone,,,,,L1,,0
Ndoye,,,,,Other,,1
Kirchoff,,,,,BDL,,0
Eboue,,,,,Other,,1
Bennett,,,,,EPL,,0
Cissokho,,,,,Other,,1
Afobe,,,,,Other,,1
Grabban,,,,,oTHER,,1
Iturbe,,,,,SA,,0
Doucoure,,,,,L1,,0
Amrabat,,,,,LL,,0
Suarez,,,,,SA,,0
