Player,Team,EPL Teams
Mathieu Debuchy,Arsenal,Arsenal
Kieran Gibbs,Arsenal,Bournemouth
Per Mertesacker,Arsenal,Brighton
Laurent Koscielny,Arsenal,Burnley
Alexis Sanchez,Arsenal,Chelsea
Aaron Ramsey,Arsenal,Crystal Palace
Alexandre Lacazette,Arsenal,Everton
Jack Wilshere,Arsenal,Huddersfield
Mesut Ozil,Arsenal,Leicester
Olivier Giroud,Arsenal,Liverpool
David Ospina,Arsenal,Man City
Theo Walcott,Arsenal,Man United
Alex Oxlade-Chamberlain,Arsenal,Newcastle United
Rob Holding,Arsenal,Southampton
Alex Iwobi,Arsenal,Stoke City
Nacho Monreal,Arsenal,Swansea City
Santi Cazorla,Arsenal,Tottenham
Shkodran Mustafi,Arsenal,Watford
Calum Chambers,Arsenal,West Ham
Jeff Reine-Adelaide,Arsenal,West Brom
Danny Welbeck,Arsenal,
Hector Bellerin,Arsenal,
Carl Jenkinson,Arsenal,
Emiliano Martinez,Arsenal,
Lucas Perez,Arsenal,
Granit Xhaka,Arsenal,
Ainsley Maitland-Niles,Arsenal,
Sead Kolasinac,Arsenal,
Chuba Akpom,Arsenal,
Petr Cech,Arsenal,
Francis Coquelin,Arsenal,
Mohamed Elneny,Arsenal,
Joel Campbell,Arsenal,
Artur Boruc,Bournemouth,
Simon Francis,Bournemouth,
Steve Cook,Bournemouth,
Dan Gosling,Bournemouth,
Nathan Ake,Bournemouth,
Andrew Surman,Bournemouth,
Marc Pugh,Bournemouth,
Harry Arter,Bournemouth,
Benik Afobe,Bournemouth,
Max Gradel,Bournemouth,
Charlie Daniels,Bournemouth,
Aaron Ramsdale,Bournemouth,
Callum Wilson,Bournemouth,
Brad Smith,Bournemouth,
Adam Smith,Bournemouth,
Lewis Cook,Bournemouth,
Joshua King,Bournemouth,
Jermain Defoe,Bournemouth,
Junior Stanislas,Bournemouth,
Emerson Hyndman,Bournemouth,
Connor Mahoney,Bournemouth,
Ryan Fraser,Bournemouth,
Tyrone Mings,Bournemouth,
Asmir Begovic,Bournemouth,
Rhoys Wiggins,Bournemouth,
Lys Mousset,Bournemouth,
Adam Federici,Bournemouth,
Jordon Ibe,Bournemouth,
Baily Cargill,Bournemouth,
Mathew Ryan   ,Brighton,
Bruno         ,Brighton,
Gaetan Bong     ,Brighton,
Uwe Huenemeier  ,Brighton,
Lewis Dunk        ,Brighton,
Dale Stephens   ,Brighton,
Beram Kayal     ,Brighton,
Jiri Skalak          ,Brighton,
Sam Baldock     ,Brighton,
Tomer Hemed  ,Brighton,
Anthony Knockaert  ,Brighton,
Niki Maenpaa,Brighton,
Pascal Gross,Brighton,
Steve Sidwell      ,Brighton,
Jamie Murphy    ,Brighton,
Glenn Murray   ,Brighton,
Connor Goldson    ,Brighton,
Solly March,Brighton,
Shane Duffy      ,Brighton,
Liam Rosenior    ,Brighton,
Davy Propper,Brighton,
Markus Suttner,Brighton,
Kazenga LuaLua,Brighton,
Rohan Ince,Brighton,
Richie Towell,Brighton,
Izzy Brown,Brighton,
Tom HEATON,Burnley,
Matthew LOWTON,Burnley,
Charlie TAYLOR    ,Burnley,
James TARKOWSKI,Burnley,
Ben MEE,Burnley,
Andre GRAY,Burnley,
Dean MARNEY,Burnley,
Sam VOKES,Burnley,
Ashley BARNES,Burnley,
Robbie BRADY,Burnley,
Jeff HENDRICK       ,Burnley,
Steven DEFOUR,Burnley,
Johann BERG GUDMUNDSSON,Burnley,
Ashley WESTWOOD    ,Burnley,
Freddie ULVESTAD     ,Burnley,
Stephen WARD,Burnley,
Chris LONG     ,Burnley,
Tendayi DARIKWA,Burnley,
Kevin LONG,Burnley,
Nick POPE     ,Burnley,
Dan AGYEI    ,Burnley,
Scott ARFIELD,Burnley,
Aiden O’NEILL,Burnley,
Willy Caballero,Chelsea,
Antonio Rudiger,Chelsea,
Marcos Alonso,Chelsea,
Cesc Fabregas,Chelsea,
N'Golo Kante,Chelsea,
Alvaro Morata,Chelsea,
Eden Hazard,Chelsea,
Pedro,Chelsea,
Thibaut Courtois,Chelsea,
Tiemoue Bakayoko,Chelsea,
Victor Moses,Chelsea,
Kenedy,Chelsea,
Charly Musonda,Chelsea,
Diego Costa,Chelsea,
Nemanja Matic,Chelsea,
Willian,Chelsea,
Michy Batshuayi,Chelsea,
Gary Cahill,Chelsea,
Andreas Christensen,Chelsea,
Cesar Azpilicueta,Chelsea,
David Luiz,Chelsea,
Eduardo,Chelsea,
Loic Remy,Chelsea,
Fikayo Tomori,Chelsea,
Jake Clarke-Salter,Chelsea,
Lewis Baker,Chelsea,
Kyle Scott,Chelsea,
Jeremie Boga,Chelsea,
Mario Pasalic,Chelsea,
Julian Speroni,Crystal Palace,
Wayne Hennessy,Crystal Palace,
Dion Henry,Crystal Palace,
James Tomkins,Crystal Palace,
Scott Dann,Crystal Palace,
Jairo Riedewald,Crystal Palace,
Damien Delaney,Crystal Palace,
Patrick Van Aanholt,Crystal Palace,
Jeffrey Schlupp,Crystal Palace,
Pape Souare,Crystal Palace,
Timothy Fosu-Mensah,Crystal Palace,
Joel Ward,Crystal Palace,
Martin Kelly,Crystal Palace,
Mamadou Sakho,Crystal Palace,
Jaroslaw Jach,Crystal Palace,
Luka Milivojevic,Crystal Palace,
Yohan Cabaye,Crystal Palace,
Chung-Yong Lee,Crystal Palace,
James McArthur,Crystal Palace,
Ruben Loftus-Cheek,Crystal Palace,
Jordon Mutch,Crystal Palace,
Jason Puncheon,Crystal Palace,
Jonathan Williams,Crystal Palace,
Bakary Sakho,Crystal Palace,
Wilfried Zaha,Crystal Palace,
Andros Townsend,Crystal Palace,
Christian Benteke,Crystal Palace,
Connor Wickham,Crystal Palace,
Alexander Sorloth,Crystal Palace,
"Baines, Leighton John",Everton,
"Barkley, Ross",Everton,
"Besic, Muhamed",Everton,
"Bolasie, Yannick",Everton,
"Byrne, Sam John",Everton,
"Coleman, Seamus",Everton,
"Funes Mori, Jose Ramiro",Everton,
"Gueye, Idrissa Gana",Everton,
"Jagielka, Philip Nikodem",Everton,
"Jones, Gethin Wynne",Everton,
"Keane, Michael Vincent",Everton,
"Klaassen, Davy",Everton,
"Lennon, Aaron",Everton,
"Martina, Rhu-Endly Aurelio Jean-Carlo",Everton,
"McCarthy, James",Everton,
"Mirallas Y Castillo, Kevin Antonio Joel Gislain",Everton,
"Niasse, Baye Oumar",Everton,
"Pickford, Jordan Lee",Everton,
"Ramirez Castillo, Sandro",Everton,
"Robles Blazquez, Joel",Everton,
"Rooney, Wayne Mark",Everton,
"Schneiderlin, Morgan",Everton,
"Sigurdsson, Gylfi Thor",Everton,
"Stekelenburg, Maarten",Everton,
"Williams, Ashley Errol",Everton,
Jonas Lössl,Huddersfield,
